('python3 | 12384', '/dev/shm/sem.nkXel2', 'p2f', 2, 2)
('rm | 12367', '/var/backups/alternatives.tar.6', 'p2f', 2, 1)
('systemd-logind | 628', '/run/systemd/users/.#1000BW072L', 'p2f', 2, 2)
('mv | 12335', 'oldpath=.//dpkg.diversions.4.gz(/var/backups/dpkg.diversions.4.gz), newpath=.//dpkg.diversions.5.gz(/var/backups/dpkg.diversions.5.gz)', 'p2f', 1, 1)
('systemd-logind | 628', '/run/systemd/users/.#1000Ccrpne', 'p2f', 2, 2)
('systemd | 1', '/run/systemd/transient/session-391.scope', 'p2f', 2, 2)
('run-parts | 12392', '--lsbsysinit./etc/update-motd.d.', 'p2p', 31, 2)
('systemd | 1', '/run/systemd/transient/session-392.scope', 'p2f', 2, 2)
('sudo | 12572', '/run/sudo/ts/storm', 'p2f', 4, 1)
('rm | 12350', '-f.--..//dpkg.statoverride.6..//dpkg.statoverride.6.gz.', 'p2p', 7, 1)
('uname | 12485', '-r.', 'p2p', 47, 2)
('95-hwe-eol | 12416', '/etc/update-motd.d/95-hwe-eol.', 'p2p', 32, 1)
('ls | 12641', '--color=auto.-alF.', 'p2p', 24, 3)
('mv | 12337', 'oldpath=.//dpkg.diversions.2.gz(/var/backups/dpkg.diversions.2.gz), newpath=.//dpkg.diversions.3.gz(/var/backups/dpkg.diversions.3.gz)', 'p2f', 4, 1)
('find | 12417', '/dev/null', 'p2f', 57, 4)
('cp | 12343', '-p./var/lib/dpkg/statoverride.dpkg.statoverride.', 'p2p', 7, 1)
('rm | 12367', '/var/backups/alternatives.tar.6.gz', 'p2f', 2, 1)
('python3 | 12384', '/dev/shm/sem.NMTa61', 'p2f', 2, 2)
('cut | 12461', '-d:.-f.2-.', 'p2p', 63, 7)
('mv | 12324', '-f.--..//dpkg.status.0.gz..//dpkg.status.1.gz.', 'p2p', 2, 1)
('stat | 12421', '-c.%Y./var/lib/update-notifier/fsck-at-reboot.', 'p2p', 32, 1)
('release-upgrade | 12406', '-e./usr/lib/ubuntu-release-upgrader/release-upgrade-motd.', 'p2p', 32, 1)
('dumpe2fs | 12448', '/dev/null', 'p2f', 16, 2)
