source,sink,freq
00-header,/run/*,10
10-help-text,/run/*,40
50-landscape-sy,/run/*,30
APEX_CONTEXT_WO,/home/local/ASUAD/lhuan139/.dropbox/*,926
APEX_CONTEXT_WO,/home/local/ASUAD/lhuan139/.dropbox/metrics/*,940
ActorThread,/home/local/ASUAD/lhuan139/.dropbox/instance1/*,4761
DBXLOG_WORKER,/home/local/ASUAD/lhuan139/.dropbox/logs/1/*,68
HOURLY_REFRESH,/home/local/ASUAD/lhuan139/.dropbox/instance1/*,735
LIST_LEGACY,/home/local/ASUAD/lhuan139/.dropbox/instance1/*,3749
NUCLEUS_CONTROL,/home/local/ASUAD/lhuan139/.dropbox/instance1/sync/*,11962
NetworkManager,/var/lib/NetworkManager/*,190
RTRACE,/home/local/ASUAD/lhuan139/.dropbox/instance1/*,1865
appstreamcli,/dev/*,11
appstreamcli,/tmp/*,22
apt-check,/tmp/*,24827
apt-check,/var/cache/apt/*,44
apt-check,/var/lib/ubuntu-advantage/apt-esm/var/cache/apt/*,44
apt-check,/var/lib/update-notifier/*,11
apt-config,/dev/*,704
apt-get,/tmp/*,12727
apt-get,/var/cache/apt/*,44
apt-key,/tmp/apt-key-gpghome.0PVzEAIDqm/*,11
apt-key,/tmp/apt-key-gpghome.3Oxyl5TeA4/*,11
apt-key,/tmp/apt-key-gpghome.4CN6fK0gp3/*,11
apt-key,/tmp/apt-key-gpghome.7x2RItn9yt/*,11
apt-key,/tmp/apt-key-gpghome.8OpL2Yibqy/*,11
apt-key,/tmp/apt-key-gpghome.EP9LolnJJ3/*,11
apt-key,/tmp/apt-key-gpghome.ImN5fu0liN/*,11
apt-key,/tmp/apt-key-gpghome.LfNsr1Lau3/*,11
apt-key,/tmp/apt-key-gpghome.Ru8lI51npF/*,11
apt-key,/tmp/apt-key-gpghome.TFvtMSXeex/*,11
apt-key,/tmp/apt-key-gpghome.TIDGfBMToC/*,11
apt-key,/tmp/apt-key-gpghome.YyS6u0YUYo/*,11
apt-key,/tmp/apt-key-gpghome.cJXwrdenb6/*,11
apt-key,/tmp/apt-key-gpghome.dD7c4q5VJ5/*,11
apt-key,/tmp/apt-key-gpghome.iaSv4YF3GV/*,11
atop,/var/log/atop/*,288
atopacctd,/run/pacct_shadow.d/*,139819
bash,/dev/*,2
bash,/home/local/ASUAD/lhuan139/.vscode-server/*,227
bash,/home/local/ASUAD/zliu396/.jenv/*,1
bash,/tmp/*,21
cat,/run/*,50
cat,/tmp/apt-key-gpghome.0PVzEAIDqm/*,55
cat,/tmp/apt-key-gpghome.7x2RItn9yt/*,55
cat,/tmp/apt-key-gpghome.8OpL2Yibqy/*,55
cat,/tmp/apt-key-gpghome.ImN5fu0liN/*,55
cat,/tmp/apt-key-gpghome.Ru8lI51npF/*,55
cat,/tmp/apt-key-gpghome.TFvtMSXeex/*,11
cat,/tmp/apt-key-gpghome.cJXwrdenb6/*,55
cat,/tmp/apt-key-gpghome.dD7c4q5VJ5/*,11
conda,/dev/shm/*,18
conda,/tmp/*,112
cp,/tmp/apt-key-gpghome.0PVzEAIDqm/*,11
cp,/tmp/apt-key-gpghome.7x2RItn9yt/*,11
cp,/tmp/apt-key-gpghome.8OpL2Yibqy/*,11
cp,/tmp/apt-key-gpghome.ImN5fu0liN/*,11
cp,/tmp/apt-key-gpghome.Ru8lI51npF/*,11
cp,/tmp/apt-key-gpghome.TFvtMSXeex/*,11
cp,/tmp/apt-key-gpghome.cJXwrdenb6/*,11
cp,/tmp/apt-key-gpghome.dD7c4q5VJ5/*,11
cpptools-srv,/dev/*,109
cpptools-srv,/home/local/ASUAD/lhuan139/.cache/vscode-cpptools/ipch/50ff691540d583bf/*,417
cpptools-srv,/tmp/*,346
cpuUsage.sh,/home/local/ASUAD/zliu396/.vscode-server/*,2
cron,/proc/self/*,133
date,/run/*,10
dbus-daemon,/sys/kernel/security/apparmor/*,58
dumpe2fs,/dev/*,40
echo,/dev/*,11
gdbus,/dev/*,11
git,/dev/*,1
git,/ssd2/liangyi/dropbox/ThreatReportExtractor/.git/*,147
git,/ssd2/liangyi/dropbox/oldThreatReportExtractor/.git/*,147
goa-identity-se,/tmp/*,6
gpg-connect-age,/dev/*,990
gpgv,/dev/*,1188
gpgv,/tmp/*,223542
gvfsd-fuse,/dev/*,3576
http,/var/lib/apt/lists/partial/*,605
https,/var/lib/apt/lists/partial/*,44
https,/var/lib/ubuntu-advantage/apt-esm/var/lib/apt/lists/partial/*,198
irqbalance,/proc/irq/138/*,11
irqbalance,/proc/irq/139/*,9
irqbalance,/proc/irq/144/*,11
irqbalance,/proc/irq/145/*,9
irqbalance,/proc/irq/146/*,21
irqbalance,/proc/irq/147/*,8
irqbalance,/proc/irq/151/*,9
irqbalance,/proc/irq/154/*,9
irqbalance,/proc/irq/156/*,9
irqbalance,/proc/irq/169/*,20
irqbalance,/proc/irq/170/*,6
irqbalance,/proc/irq/171/*,1
irqbalance,/proc/irq/173/*,42
irqbalance,/proc/irq/178/*,27
irqbalance,/proc/irq/179/*,40
irqbalance,/proc/irq/183/*,27
irqbalance,/proc/irq/187/*,20
irqbalance,/proc/irq/188/*,9
irqbalance,/proc/irq/189/*,20
irqbalance,/proc/irq/191/*,2
irqbalance,/proc/irq/195/*,3
irqbalance,/proc/irq/197/*,38
irqbalance,/proc/irq/94/*,18
irqbalance,/proc/irq/95/*,46
irqbalance,/proc/irq/96/*,84
landscape-broke,/var/lib/landscape/client/messages/0/*,26
landscape-monit,/var/log/landscape/*,63
landscape-packa,/tmp/*,88968
landscape-packa,/var/log/landscape/*,11
landscape-sysin,/run/*,10
lightdm-gtk-gre,/var/log/lightdm/*,961
lsb_release,/dev/*,18
lwsmd,/tmp/*,1010
lwsmd,/var/lib/pbis/*,7757
node,/home/local/ASUAD/lhuan139/*,417
node,/home/local/ASUAD/lhuan139/.local/share/jupyter/runtime/*,28
node,/home/local/ASUAD/lhuan139/.vscode-server/*,477
node,/home/local/ASUAD/lhuan139/.vscode-server/data/CachedProfilesData/__default__profile__/*,9
node,/home/local/ASUAD/lhuan139/.vscode-server/data/User/History/-532ab122/*,99
node,/home/local/ASUAD/lhuan139/.vscode-server/data/User/History/103fe9fb/*,566
node,/home/local/ASUAD/lhuan139/.vscode-server/data/User/History/3f27c49a/*,309
node,/home/local/ASUAD/lhuan139/.vscode-server/data/User/workspaceStorage/949075018b3afdbea6273a3bc69c1f10/*,9
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240126T221528/exthost1/output_logging_20240126T221530/*,12
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/*,189
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/*,199
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/ms-python.black-formatter/*,234
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/ms-python.python/*,1098
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/output_logging_20240131T121959/*,3341
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/vscode.git/*,2865
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20240131T121957/exthost1/vscode.github/*,27
