source,sink,freq
APEX_CONTEXT_NE,10.218.105.*:*->162.125.1.*:*,242
APEX_CONTEXT_NE,10.218.105.*:*->162.125.2.*:*,15908
APEX_CONTEXT_NE,10.218.105.*:*->162.125.40.*:*,9180
APEX_CONTEXT_NE,10.218.105.*:*->162.125.6.*:*,153
APEX_CONTEXT_NE,10.218.105.*:*->162.125.8.*:*,243
NUCLEUS_NETWORK,10.218.105.*:*->162.125.2.*:*,491
NUCLEUS_NETWORK,10.218.105.*:*->162.125.40.*:*,144
NetworkManager,10.218.105.*:*->185.125.190.*:*,100
NetworkManager,10.218.105.*:*->34.122.121.*:*,9
NetworkManager,10.218.105.*:*->35.224.170.*:*,30
NetworkManager,10.218.105.*:*->35.232.111.*:*,13
NetworkManager,10.218.105.*:*->91.189.91.*:*,38
NetworkManager,127.0.0.*:*->127.0.0.*:*,199
P2P_DISCOVER,10.218.105.*:*->10.218.105.*:*,484
P2P_DISCOVER,10.218.106.*:*->10.218.105.*:*,254
P2P_DISCOVER,10.218.107.*:*->10.218.105.*:*,167
P2P_DISCOVER,10.218.108.*:*->10.218.105.*:*,529
P2P_DISCOVER,10.218.109.*:*->10.218.105.*:*,154
P2P_DISCOVER,10.218.110.*:*->10.218.105.*:*,201
P2P_DISCOVER,10.218.111.*:*->10.218.105.*:*,1933
P2P_DISCOVER,172.18.255.*:*->172.18.0.*:*,1861
P2P_DISCOVER,192.168.122.*:*->192.168.122.*:*,1861
P2P_DISCOVER,255.255.255.*:*->10.218.105.*:*,1861
avahi-daemon,10.218.104.*:*->10.218.105.*:*,3
avahi-daemon,10.218.105.*:*->10.218.105.*:*,25
avahi-daemon,10.218.106.*:*->10.218.105.*:*,9
avahi-daemon,10.218.107.*:*->10.218.105.*:*,4
avahi-daemon,10.218.108.*:*->10.218.105.*:*,15
avahi-daemon,10.218.109.*:*->10.218.105.*:*,4
avahi-daemon,10.218.111.*:*->10.218.105.*:*,4
avahi-daemon,224.0.0.*:*->10.218.105.*:*,16
git-remote-http,10.218.105.*:*->140.82.112.*:*,1152
git-remote-http,10.218.105.*:*->140.82.113.*:*,1044
git-remote-http,10.218.105.*:*->140.82.114.*:*,450
goa-identity-se,10.218.105.*:*->10.220.18.*:*,3
goa-identity-se,127.0.0.*:*->127.0.0.*:*,15
http,127.0.0.*:*->127.0.0.*:*,33
https,10.218.105.*:*->104.85.244.*:*,99
https,10.218.105.*:*->13.224.50.*:*,44
https,10.218.105.*:*->152.195.19.*:*,44
https,10.218.105.*:*->18.154.137.*:*,44
https,10.218.105.*:*->18.154.144.*:*,44
https,10.218.105.*:*->18.65.3.*:*,44
https,10.218.105.*:*->185.199.110.*:*,44
https,10.218.105.*:*->54.183.38.*:*,33
https,10.218.105.*:*->87.238.57.*:*,44
https,10.218.105.*:*->91.189.91.*:*,66
https,10.218.105.*:*->99.84.203.*:*,55
https,127.0.0.*:*->127.0.0.*:*,110
landscape-broke,10.218.105.*:*->10.220.67.*:*,3866
lwsmd,10.218.105.*:*->10.220.30.*:*,6
lwsmd,10.218.105.*:*->10.220.68.*:*,10
node,127.0.0.*:*->127.0.0.*:*,676
python,127.0.0.*:*->127.0.0.*:*,1738
systemd-resolve,127.0.0.*:*->127.0.0.*:*,8865
systemd-timesyn,0.0.0.*:*,27
xtl-netreq-4,127.0.0.*:*->127.0.0.*:*,10
