source,sink,freq
systemd-journal,/run/systemd/journal/streams/*.#8:21369074xLMwBm,1
python,/tmp/*.ck7uv_gk,4957
gvfsd-metadata,/home/local/ASUAD/shijielu/.local/share/gvfs-metadata/*.E6PTG2,1
lwsmd,/var/lib/pbis/db/*.new,44901
landscape-broke,/var/log/landscape/*.1 (deleted,3
systemd,/sys/fs/cgroup/cpu/system.slice/anacron.service/*.procs,1
systemd,/sys/fs/cgroup/devices/system.slice/anacron.service/*.procs,1
NetworkManager,/var/lib/NetworkManager/*.78HDH2,1
redis-server,/var/log/redis/*.log,414
systemd,/sys/fs/cgroup/cpu/system.slice/anacron.service/*.shares,1
systemd,/sys/fs/cgroup/systemd/user.slice/user-1941350626.slice/user@1941350626.service/tracker-extract.service/*.procs,2
APEX_CONTEXT_WO,/home/local/ASUAD/lhuan139/.dropbox/metrics/*.bin,17
landscape-monit,/var/lib/landscape/client/*.bpickle,5
systemd,/sys/fs/cgroup/cpu/system.slice/anacron.service/*.cfs_period_us,1
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20231231T091032/exthost1/*.log,2
node,/home/local/ASUAD/lhuan139/.vscode-server/data/User/History/19a7e820/*.json,18
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20231231T091032/exthost1/ms-python.black-formatter/*.log,57
systemd,/sys/fs/cgroup/devices/system.slice/anacron.service/*.allow,1
ActorThread,/home/local/ASUAD/lhuan139/.dropbox/instance1/*.db-journal,140
systemd,/sys/fs/cgroup/blkio/system.slice/anacron.service/*.procs,1
rs:main,/var/log//syslog,53
irqbalance,/proc/irq/189//smp_affinity,1
landscape-broke,/var/lib/landscape/client/*.bpickle,2
postgres,/proc/self//oom_score_adj,121
systemd-journal,/run/systemd/journal/streams/*.#8:21369269DucELn,1
python,/home/local/ASUAD/lhuan139//Dropbox (ASU,274
NetworkManager,/var/lib/NetworkManager/*.CUHDH2,1
node,/home/local/ASUAD/lhuan139//Dropbox (ASU,18
LIST_LEGACY,/home/local/ASUAD/lhuan139/.dropbox/instance1/*.dbx,56
systemd,/sys/fs/cgroup/unified/system.slice/anacron.service/*.procs,2
node,/home/local/ASUAD/lhuan139/.vscode-server/data/logs/20231231T091032/exthost1/output_logging_20231231T091033/*.log,67
nvtop,/dev/pts//12,6559
NetworkManager,/var/lib/NetworkManager/*.5NIDH2,1
tracker-store,/home/local/ASUAD/shijielu/.local/share/tracker/data/*.journal,2
NUCLEUS_CONTROL,/home/local/ASUAD/lhuan139/.dropbox/instance1/sync/*.sqlite3-wal,1132
systemd,/sys/fs/cgroup/memory/system.slice/anacron.service/*.procs,1
systemd-journal,/run/systemd/journal/streams/*.#8:21369075NtQwJl,1
gvfsd-metadata,/home/local/ASUAD/shijielu/.local/share/gvfs-metadata/*.MQNTG2,1
lightdm-gtk-gre,/var/log/lightdm/*.log,17
landscape-manag,/var/lib/landscape/client/*.bpickle,3
ActorThread,/home/local/ASUAD/lhuan139/.dropbox/instance1/*.db,49
systemd,/sys/fs/cgroup/pids/system.slice/anacron.service/*.procs,1
landscape-monit,/var/log/landscape/*.1 (deleted,2
sh,/dev//null,2
rs:main,/var/log/*.log,6
cron,/proc/self//loginuid,3
systemd,/sys/fs/cgroup/memory/system.slice/anacron.service/*.limit_in_bytes,1
systemd,/sys/fs/cgroup/cpu/system.slice/anacron.service/*.cfs_quota_us,1
LIST_LEGACY,/home/local/ASUAD/lhuan139/.dropbox/instance1/*.dbx-journal,152
landscape-broke,/var/lib/landscape/client/messages/0/*.tmp,7
gvfsd-fuse,/dev//fuse,2064
landscape-manag,/var/log/landscape/*.1 (deleted,1
systemd,/sys/fs/cgroup/systemd/system.slice/anacron.service/*.procs,2
systemd,/sys/fs/cgroup/unified/user.slice/user-1941350626.slice/user@1941350626.service/tracker-extract.service/*.procs,2
systemd,/sys/fs/cgroup/pids/system.slice/anacron.service/*.max,1
