source,sink,freq
landscape-broke,10.218.105.*:*->10.220.67.*:*,75
P2P_DISCOVER,10.218.111.*:*->10.218.105.*:*,36
NetworkManager,10.218.105.*:*->35.232.111.*:*,2
P2P_DISCOVER,172.18.255.*:*->172.18.0.*:*,35
P2P_DISCOVER,10.218.105.*:*->10.218.105.*:*,8
P2P_DISCOVER,10.218.109.*:*->10.218.105.*:*,4
ZMQbg/IO/0,127.0.0.*:*->127.0.0.*:*,47
P2P_DISCOVER,10.218.107.*:*->10.218.105.*:*,3
APEX_CONTEXT_NE,10.218.105.*:*->162.125.8.*:*,9
P2P_DISCOVER,10.218.108.*:*->10.218.105.*:*,5
systemd-resolve,127.0.0.*:*->127.0.0.*:*,73
NetworkManager,10.218.105.*:*->185.125.190.*:*,1
P2P_DISCOVER,10.218.106.*:*->10.218.105.*:*,3
NetworkManager,10.218.105.*:*->91.189.91.*:*,1
APEX_CONTEXT_NE,10.218.105.*:*->162.125.40.*:*,248
P2P_DISCOVER,192.168.122.*:*->192.168.122.*:*,35
P2P_DISCOVER,255.255.255.*:*->10.218.105.*:*,35
APEX_CONTEXT_NE,10.218.105.*:*->162.125.2.*:*,1741
NetworkManager,127.0.0.*:*->127.0.0.*:*,3
NUCLEUS_NETWORK,10.218.105.*:*->162.125.2.*:*,12
P2P_DISCOVER,10.218.110.*:*->10.218.105.*:*,11
